barcode,retailers,skus,canonical_volumes,canonical_agree,sample_names,sample_retailers,vol_ratio,vol_gap_ml,bucket,matched_pack_count,category,evidence
5021554989646,3,3,"[350.0, 350000.0]",False,"['clearspring Organic King coconut 100% coconut water ecological bottle 350 l', 'coconut water ECO clearspring, 350 ml', 'clearspring coconut water 350 ml 350 ml']","['El Corte Inglés', 'Greenweez', 'Carethy']",1000.0,349650.0,likely_variant_or_error,,typo,ratio=1000.00 ~ 1000x (dropped digit/decimal)
853158004112,7,8,"[240.0, 3785.0, 30660.0]",False,"['Alkaline 88 Water, 128 oz', 'Alkaline88, Water Purified Ph 8.8, 128 Fl Oz', 'Alkaline88 Purified, Ionized Alkaline Water - 1 gallon bottle', 'Alkaline 88 Water Himalayan Minerals', 'Alkaline88 8.8pH Purified Water - 1 Gallon']","['amazon', 'Walmart', 'peapod', 'safeway', 'Hy-Vee']",127.75,30420.0,likely_variant_or_error,,mixed_product,8 distinct product names under one BARCODE
41449002408,6,6,"[5.0, 415.0]",False,"['Alpine Drink Mix, Spiced Apple Cider, .14 Oz, 10 Packets, 1 Count', 'Alpine Sugar Free Spiced Apple Cider Drink Mix', 'Alpine Spiced Apple Cider Drink Mix - 10 pack, 0.14 Ounce pouches', 'Alpine Sugar Free Apple Cider', 'Alpine Spiced Apple Cider Sugar Free Instant Drink Mix']","['Walmart', 'Kroger', 'amazon', 'Fred Meyer Stores', 'Hy-Vee']",83.0,410.0,likely_variant_or_error,,ambiguous_unit,"dry-mix product with oz (weight not volume); vols=[5.0, 415.0]"
697068675396,2,2,"[20.0, 1595.0]",False,"['No Sugar Added Lemonade Juice Box, 0.75 fl oz boxes', ""Uncle Matt's Organic Lemonade Juice Box - 8-54 Fl. Oz.""]","['Wholefoods', 'safeway']",79.75,1575.0,likely_variant_or_error,,size_variant_real,"vols=[20.0, 1595.0] ratio=79.75 (plausible real sizes)"
8436044514159,2,2,"[10.0, 750.0]",False,"['apple vinager bioecosana 75cl', 'apple vinager bioecosana 7.5 ml']","['Planeta Huerto', 'Mifarma']",75.0,740.0,likely_variant_or_error,,size_variant_real,"vols=[10.0, 750.0] ratio=75.00 (plausible real sizes)"
74806480007,2,2,"[235.0, 11355.0]",False,"['Little Hug Fruit Barrels (8 fl. oz., 48 pk.)', 'Little Hug Assorted Drinks, 384 oz']","[""Sam's Club"", 'amazon']",48.319148936170215,11120.0,likely_pack_variant,48.0,pack_variant,ratio matches printed 48.0-pack
3661138600585,6,6,"[1250.0, 25000.0]",False,"['fruit drink SUNNY DELIGHT', 'drink soft California', 'fruit drink fresh soft California SUNNY DELIGHT, 1 ,25l', 'drink soft California Sunny Delight', 'SUNNY DELIGHT\nSunny Delight fruit drink fresh soft california 1.25l']","['Carrefour', 'Intermarche', 'Courses U', 'OOShop', 'Auchandrive']",20.0,23750.0,likely_variant_or_error,,mixed_product,6 distinct product names under one BARCODE
52000056006,2,2,"[2.0, 25.0]",False,"['Fast Twitch Energy Drink Mix Glacier Freeze, 10 Packets, 0.9 Ounce', 'Fast Twitch Energy Drink Mix, Glacier Freeze, Zero Sugar, 10-0.08 oz Packets']","['amazon', 'Hy-Vee']",12.5,23.0,likely_variant_or_error,,ambiguous_unit,"dry-mix product with oz (weight not volume); vols=[2.0, 25.0]"
7350093030259,7,7,"[20.0, 200.0]",False,"['Ekobryggeriet | Organic Rhubarb Tonic | 4 x 20ml (UK)', '12pcs ekobryggeriet Nordic Tonic Rhubarb tonicvesi organic 20cl', 'rhubarb Tonic Water drinkmix glass', 'Tonic Water rhubarb', 'Tonic rhubarb organic 200ml eco-brewery']","['amazon', 'Fiksu Ruoka', 'Willys', 'mat.se', 'Hemköp']",10.0,180.0,likely_variant_or_error,,typo,ratio=10.00 ~ 10x (dropped digit/decimal)
7314720739038,6,7,"[150.0, 1500.0]",False,"['blackcurrant berry drink berry drink', 'blackcurrants berry drink', 'black Vinbarsdryck 1.5l kiviks', 'black Vinbarsdryck', 'blackcurrant drink ready to drink 1.5 dl kiviks']","['Willys', 'mat.se', 'MatHem', 'Hemköp', 'Coop']",10.0,1350.0,likely_variant_or_error,,typo,ratio=10.00 ~ 10x (dropped digit/decimal)
43000032275,10,13,"[590.0, 5680.0]",False,"['Tang Orange Naturally Flavored Powdered Soft Drink Mix, 20 oz Canister', 'Tang Drink Powder, Orange, Vitamin C, Caffeine Free, 20 oz Jar', 'Tang Drink Mix Orange - Makes 6 Quarts', 'Drink Mix - Orange', 'Tang Orange Drink Mix - 20oz']","['Giant Eagle', 'Walmart', 'peapod', 'Harris Teeter', 'Target']",9.627118644067796,5090.0,likely_variant_or_error,,typo,ratio=9.63 ~ 10x (dropped digit/decimal)
8437019525057,2,2,"[35.0, 330.0]",False,"['NATIVE ORGANICS natural mineral water 0% plastic tin 33 ml', 'mineral water can 0% plastic Native Organics 330 ml']","['El Corte Inglés', 'Planeta Huerto']",9.428571428571429,295.0,likely_variant_or_error,,unresolved_check_needed,ratio=9.43 near 10-pack but no count in FULL titles
41409013864,2,2,"[25.0, 235.0]",False,"['Strawberry Banana Mix Organic - .8 OZ', 'Fresh Success Organic Strawberry Banana Smoothie Mix - 0.81oz']","['safeway', 'Target']",9.4,210.0,likely_variant_or_error,,ambiguous_unit,"dry-mix product with oz (weight not volume); vols=[25.0, 235.0]"
840269200243,4,4,"[355.0, 2130.0]",False,"['Sanzo Sparkling Water Yuzu 6 Count - 72 Fl. Oz.', 'Yuzu Sparkling Water 6pk, 12 fl oz cans', 'Sanzo Water Sparkling Yuzu - Case of 4 - 72 fl oz - 6 pk', 'Sanzo Sparkling Water No Added Sugar Yuzu -- 12 fl oz Each / 6 Pack']","['safeway', 'Wholefoods', 'Target', 'Vitacost']",6.0,1775.0,likely_pack_variant,6.0,pack_variant,ratio matches printed 6.0-pack
73970102029,3,4,"[355.0, 2130.0]",False,"['Dr. Brown Ginger Ale Soda 6 pack, 12-ounces ( Pack of4)', 'Dr. Brown Ginger Ale Soda 72.0 OZ( Pack of 3)', 'Extra Dry Ginger Ale Extra Dry Ginger Ale', 'Dr Brown Soda- Cans- Ginger Ale - 6-12 Fl. Oz.']","['amazon', 'H-E-B', 'safeway']",6.0,1775.0,likely_pack_variant,6.0,pack_variant,ratio matches printed 6.0-pack
73970002046,9,13,"[355.0, 2130.0]",False,"[""Dr. Brown's Black Cherry Soda Diet - 6 pk"", 'Black Cherry Soda - Diet', 'Dr. Brown Soda Diet, Black Cherry, 12 oz, 6 pk cans', ""Dr. Brown's Diet Black Cherry Soda"", ""Dr Brown's - Soda Diet Black Cherry 6 Pk ( Pack of 4)""]","['peapod', 'Harris Teeter', 'Giant Eagle', 'meijer', 'Kroger']",6.0,1775.0,likely_pack_variant,6.0,pack_variant,ratio matches printed 6.0-pack
840269200236,4,4,"[355.0, 2130.0]",False,"['Sanzo Sparkling Water Mango 6 Count - 72 Fl. Oz.', 'Mango sparkling water (6-pack), 12 fl oz cans', 'Sanzo Flavored Sparkling Water Mango - Case of 4 - 6pk / 12 fl oz', 'Sanzo Sparkling Water No Added Sugar Mango -- 12 fl oz Each / 6 Pack']","['safeway', 'Wholefoods', 'Target', 'Vitacost']",6.0,1775.0,likely_pack_variant,6.0,pack_variant,ratio matches printed 6.0-pack
